Feature,Importance
Contract,0.4763989269945879
MonthlyCharges,0.10575012529142196
tenure,0.0718563318178938
OnlineSecurity,0.0650601077714332
PaymentMethod,0.06335655983296051
TotalCharges,0.05810916630197145
InternetService,0.03714054243075219
TechSupport,0.023517145709572713
PaperlessBilling,0.020204724916202326
gender,0.014211353561151592
OnlineBackup,0.011669031063774976
Dependents,0.010128232459836635
MultipleLines,0.010018080607450405
StreamingMovies,0.00880066041046741
SeniorCitizen,0.006168107861191808
PhoneService,0.005895256238471233
Partner,0.005304592333588813
DeviceProtection,0.003335112804245518
StreamingTV,0.0030759415930255783
